代码,名称,最新价,IOPV实时估值,基金折价率,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,委比,外盘,内盘,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,现手,买一,卖一,最新份额,流通市值,总市值,数据日期,更新时间
159560,芯片ETF景顺,2.849,2.8614,0.43,-0.159,-5.29,170621.0,50055139.8,2.9,3.042,2.826,3.008,7.18,9.4,1.06,-60.31,82901.0,87720.0,-6375703.0,-12.74,-6675942.0,-13.34,300239.0,0.6,-303136.0,-0.61,6678840.0,13.34,1822.0,2.848,2.849,181416460.0,516855495,516855495,2026-07-13 00:00:00,2026-07-13 15:34:24+08:00
563050,央企科技ETF易方达,1.469,1.4606,-0.58,-0.082,-5.29,114932.0,17115834.0,1.55,1.556,1.461,1.551,6.13,11.47,0.72,3.86,45834.0,69098.0,-1330714.0,-7.77,1738533.0,10.16,-3069247.0,-17.93,634928.0,3.71,695787.0,4.07,-73.0,1.466,1.469,100208400.0,147206140,147206140,2026-07-13 00:00:00,2026-07-13 16:11:57+08:00
588150,科创50ETF南方,1.409,1.4073,-0.12,-0.079,-5.31,483525.0,69605361.0,1.423,1.488,1.392,1.488,6.45,16.51,1.76,-40.2,181978.0,301547.0,-4225031.0,-6.07,-336057.0,-0.48,-3888974.0,-5.59,1000717.0,1.44,3224314.0,4.63,-1556.0,1.409,1.41,292932608.0,412742045,412742045,2026-07-13 00:00:00,2026-07-13 16:11:52+08:00
159763,新材料ETF建信,0.767,0.7683,0.17,-0.043,-5.31,107974.0,8440355.8,0.79,0.804,0.764,0.81,4.94,12.31,0.91,-15.61,49903.0,58071.0,386122.0,4.57,0.0,0.0,386122.0,4.57,-485420.0,-5.75,99298.0,1.18,26.0,0.765,0.767,87707747.0,67271842,67271842,2026-07-13 00:00:00,2026-07-13 15:34:30+08:00
159811,5GETF博时,3.306,3.3059,0.0,-0.186,-5.33,109395.0,36905483.3,3.398,3.502,3.283,3.492,6.27,13.48,0.81,17.96,45398.0,63997.0,-2303278.0,-6.24,-2458875.0,-6.66,155597.0,0.42,-1554623.0,-4.21,3857899.0,10.45,318.0,3.305,3.306,81143393.0,268260057,268260057,2026-07-13 00:00:00,2026-07-13 15:34:24+08:00
561280,中证1000增强ETF工银,1.6,1.5981,-0.12,-0.09,-5.33,69325.0,11331512.0,1.678,1.678,1.597,1.69,4.79,9.52,1.29,11.22,31824.0,37501.0,-1837705.0,-16.22,-338482.0,-2.99,-1499223.0,-13.23,1215277.0,10.72,622428.0,5.49,-856.0,1.597,1.6,72847700.0,116556320,116556320,2026-07-13 00:00:00,2026-07-13 16:12:00+08:00
588890,科创芯片ETF南方,4.879,4.8782,-0.02,-0.276,-5.35,931796.0,473333666.0,4.956,5.224,4.831,5.155,7.62,9.79,2.25,-47.11,410363.0,521433.0,-12779857.0,-2.7,6016872.0,1.27,-18796729.0,-3.97,4157595.0,0.88,8622260.0,1.82,-4113.0,4.878,4.879,951810000.0,4643880990,4643880990,2026-07-13 00:00:00,2026-07-13 16:11:37+08:00
515790,光伏ETF华泰柏瑞,0.849,0.8504,0.16,-0.048,-5.35,2559153.0,221591989.0,0.889,0.893,0.848,0.897,5.02,3.77,0.97,10.75,986749.0,1572404.0,-41316076.0,-18.65,-11830254.0,-5.34,-29485822.0,-13.31,9793807.0,4.42,31522269.0,14.23,-24139.0,0.849,0.85,6783493888.0,5759186311,5759186311,2026-07-13 00:00:00,2026-07-13 16:11:53+08:00
589400,科创芯片设计ETF富国,0.937,0.9292,-0.84,-0.053,-5.35,286084.0,27791347.0,0.972,1.003,0.925,0.99,7.88,10.08,0.3,9.88,121013.0,165071.0,-3485237.0,-12.54,3189475.0,11.48,-6674712.0,-24.02,1021329.0,3.67,2463908.0,8.87,-761.0,0.933,0.937,283785200.0,265906732,265906732,2026-07-13 00:00:00,2026-07-13 16:11:40+08:00
563300,中证2000ETF华泰柏瑞,1.431,1.427,-0.28,-0.081,-5.36,4834643.0,704268039.0,1.497,1.507,1.425,1.512,5.42,20.96,1.4,45.77,2056102.0,2778541.0,-95109945.0,-13.5,-82109434.0,-11.66,-13000511.0,-1.85,35085442.0,4.98,60024509.0,8.52,-81753.0,1.431,1.432,2306174000.0,3300134994,3300134994,2026-07-13 00:00:00,2026-07-13 16:11:36+08:00
